DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	58	0	0	12.3225	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	58	0	0	12.3225 	0	0
UL	0.00528571	0	5	1	1	1	1	1	0	58	0	0	12.3225 	0	0
UL	0.00553571	0	5	2	1	1	1	1	0	58	0	0	12.3225 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	1029	18	0	12.3225	0	0.000669063
DL	0.0340357	3	4	0	1	1	1	1	0	1029	18	0	12.3225	0	0.000669063
UL	0.0350357	3	5	0	1	1	1	1	0	1029	18	0	12.3225 	0	0.000669063
UL	0.0352857	3	5	1	1	1	1	1	0	1029	18	0	12.3225 	0	0.000669063
UL	0.0355357	3	5	2	1	1	1	1	0	1029	18	0	12.3225 	0	0.000669063
DL	0.0357857	3	5	3	1	1	1	1	0	1029	18	0	12.3225	0	0.000669063
UL	0.101089	10	1	0	1	4	1	1	0	4113	18	0	11.127 	1	0.997457
UL	0.101375	10	1	1	1	6	1	1	0	6168	18	0	11.127 	1	0.999872
UL	0.101679	10	1	2	1	9	1	1	0	9252	18	0	11.127 	1	0.999998
UL	0.101839	10	1	3	1	4	1	1	0	4113	18	1	11.127 	0	0
UL	0.101982	10	1	3	5	8	1	1	0	7859	17	0	11.127 	0	0.446939
UL	0.102125	10	2	0	1	6	1	1	0	6168	18	1	11.127 	0	0
UL	0.102429	10	2	1	1	9	1	1	0	9252	18	1	11.127 	0	0
UL	0.102589	10	2	2	1	4	1	1	0	3929	17	0	11.127 	1	0.276073
UL	0.102857	10	2	3	1	5	1	1	0	4913	17	0	11.127 	0	0.314022
UL	0.103179	10	3	0	1	9	1	1	0	8842	17	0	11.127 	0	0.47593
UL	0.103339	10	3	1	1	4	1	1	0	3929	17	1	11.127 	0	0
UL	0.103464	10	3	1	5	7	1	1	0	6879	17	0	11.127 	0	0.0105172
UL	0.103607	10	3	2	1	5	1	1	0	4913	17	0	11.127 	1	0.314022
UL	0.103821	10	3	3	1	3	1	1	0	2949	17	0	11.127 	0	0.193762
UL	0.104054	10	4	0	1	2	1	1	0	1966	17	0	11.127 	1	0.149161
UL	0.104357	10	4	1	1	5	1	1	0	4913	17	1	11.127 	0	0
UL	0.104571	10	4	2	1	3	1	1	0	2949	17	0	11.127 	0	0.193762
UL	0.104804	10	4	3	1	2	1	1	0	1966	17	1	11.127 	0	0
UL	0.104857	10	4	3	3	3	1	1	0	2949	17	0	11.127 	0	0.193762
